artist,songs,max_pop,avg_pop,avg_duration,avg_tempo,avg_energy,avg_danceability,average_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,avg_mode,avg_key,avg_time_sig
JUNE,4,46,41.25,225904.50,99.47,0.70,0.64,-4.35,0.08,0.00,0.27,0.12,0.63,0.75,5.75,4.00
August,2,45,44.50,144052.50,122.95,0.58,0.89,-7.48,0.13,0.00,0.28,0.24,0.49,1.00,3.00,4.00
September,34,66,19.68,206992.97,128.94,0.84,0.68,-4.69,0.04,0.00,0.07,0.23,0.76,0.53,5.59,4.00
Wednesday,30,47,27.80,214783.93,121.25,0.58,0.32,-8.31,0.04,0.32,0.23,0.23,0.28,0.80,4.47,4.00
Thursday,80,50,20.00,245721.85,131.43,0.82,0.31,-5.62,0.07,0.25,0.03,0.24,0.28,0.40,5.04,3.90
July,7,33,21.86,184717.86,118.72,0.55,0.45,-9.30,0.03,0.71,0.73,0.12,0.33,0.71,5.86,3.71
!!!,44,43,21.80,291111.80,118.58,0.79,0.76,-6.83,0.07,0.28,0.06,0.16,0.64,0.57,5.57,4.00
$LOTHBOI,3,37,29.00,132017.33,112.65,0.70,0.54,-7.14,0.04,0.04,0.07,0.37,0.29,0.33,7.67,4.00
$NOT,20,71,57.90,154036.40,114.94,0.56,0.77,-8.54,0.26,0.02,0.36,0.16,0.47,0.40,5.05,4.00
$uicideboy$,312,79,53.58,152894.59,124.17,0.66,0.76,-6.60,0.14,0.03,0.14,0.23,0.35,0.62,5.29,3.96
&ME,36,50,24.78,448100.25,121.36,0.75,0.76,-9.61,0.06,0.72,0.00,0.10,0.34,0.56,6.08,3.97
(DOLCH),7,37,22.86,282904.29,109.25,0.58,0.32,-12.63,0.05,0.60,0.17,0.14,0.11,0.57,6.86,3.71
(Hed) P.E.,206,49,16.04,218551.28,124.68,0.82,0.56,-6.70,0.14,0.04,0.03,0.29,0.54,0.66,5.35,3.97
*NSYNC,34,67,37.41,228589.79,122.06,0.79,0.69,-5.55,0.06,0.00,0.12,0.20,0.72,0.59,6.88,4.00
...And Oceans,38,34,15.05,270489.16,119.40,0.83,0.24,-8.40,0.07,0.53,0.00,0.20,0.19,0.66,5.50,3.87
...And You Will Know Us by the Trail of Dead,38,52,17.24,241870.71,125.15,0.75,0.31,-6.39,0.06,0.18,0.08,0.28,0.27,0.71,5.61,3.76
.anxious.,8,47,37.50,123745.13,103.92,0.12,0.61,-18.96,0.08,0.77,0.84,0.14,0.27,0.63,2.63,3.88
.Sinh,13,46,36.69,109110.54,116.38,0.26,0.66,-14.71,0.07,0.70,0.61,0.10,0.41,0.62,4.77,3.92
.sPout.,3,13,10.00,220960.00,106.36,0.85,0.65,-4.85,0.10,0.00,0.01,0.17,0.58,1.00,4.00,4.00
:Of The Wand And The Moon:,50,29,13.26,265687.20,116.39,0.56,0.33,-9.39,0.04,0.60,0.29,0.19,0.26,0.44,5.32,3.88
:Wumpscut:,50,27,10.16,289205.96,134.64,0.87,0.52,-5.90,0.05,0.34,0.06,0.18,0.35,0.68,4.62,3.90
? & The Mysterians,5,40,16.40,167749.00,119.36,0.74,0.59,-6.73,0.03,0.09,0.29,0.18,0.82,0.60,2.20,4.00
[.que],3,23,19.00,219102.33,138.34,0.51,0.57,-12.33,0.04,0.93,0.80,0.10,0.26,1.00,4.00,3.67
[:SITD:],26,33,13.69,332929.15,119.85,0.94,0.53,-5.64,0.05,0.26,0.02,0.21,0.37,0.65,5.04,4.00
[bsd.u],10,61,42.30,84411.30,96.00,0.35,0.73,-10.60,0.21,0.67,0.51,0.16,0.54,0.50,3.20,3.90
[dunkelbunt],5,44,36.20,286088.00,115.23,0.63,0.91,-7.87,0.16,0.57,0.10,0.44,0.83,0.20,8.00,4.00
[re:jazz],3,36,27.67,299800.00,106.63,0.58,0.56,-11.42,0.03,0.24,0.38,0.10,0.69,0.33,2.67,4.00
¡Cubanismo!,15,30,19.00,357220.40,116.27,0.78,0.59,-6.47,0.04,0.39,0.62,0.17,0.86,0.53,5.60,4.07
¡MAYDAY!,7,41,37.14,232536.71,132.14,0.68,0.77,-6.19,0.16,0.00,0.06,0.18,0.55,0.71,3.43,4.00
¿Téo?,28,64,49.36,174943.64,121.18,0.57,0.66,-9.50,0.11,0.11,0.35,0.15,0.47,0.39,6.21,3.89
「Story of Hope」,7,30,22.71,234931.86,139.16,0.94,0.32,-1.27,0.10,0.00,0.00,0.30,0.28,0.57,4.57,4.00
€URO TRA$H,12,51,37.00,222100.50,128.09,0.77,0.79,-6.30,0.06,0.36,0.05,0.08,0.53,0.67,4.92,4.00
+44,10,44,36.70,237413.40,144.74,0.81,0.45,-5.14,0.05,0.00,0.01,0.19,0.37,0.70,4.50,3.60
</body>,6,35,24.33,104217.50,113.39,0.56,0.65,-12.55,0.04,0.85,0.11,0.17,0.61,0.33,7.67,4.17
µ-Ziq,15,41,27.67,248856.00,137.69,0.67,0.47,-9.21,0.08,0.83,0.27,0.14,0.31,0.47,6.93,4.00
✝✝✝ (Crosses),25,54,39.20,234559.12,123.70,0.70,0.48,-6.52,0.04,0.33,0.05,0.15,0.24,0.44,6.40,3.92
✦ pink cig ✦,9,58,38.56,174774.22,111.47,0.45,0.54,-10.41,0.06,0.00,0.31,0.13,0.25,0.67,6.11,3.89
047,8,28,15.38,213223.38,130.35,0.80,0.59,-6.04,0.05,0.67,0.06,0.20,0.62,0.75,3.50,4.00
1.Cuz,7,58,50.29,163250.14,118.80,0.58,0.80,-7.78,0.18,0.00,0.39,0.24,0.67,0.14,4.14,4.14
10 000 Russos,4,20,10.75,766372.25,142.92,0.73,0.33,-9.03,0.05,0.87,0.20,0.39,0.18,1.00,0.50,4.00
10 Ft. Ganja Plant,112,57,19.93,237618.68,117.21,0.59,0.74,-8.06,0.08,0.43,0.12,0.13,0.78,0.60,5.62,3.99
10 Years,49,63,34.22,225476.65,138.85,0.82,0.41,-4.94,0.06,0.03,0.02,0.19,0.38,0.55,4.96,3.71
100 Demons,16,33,18.31,162704.31,111.49,0.92,0.27,-5.59,0.10,0.01,0.00,0.29,0.24,0.69,1.81,3.81
100 Kilo Herz,4,19,16.50,194410.00,106.85,0.67,0.59,-10.76,0.04,0.00,0.01,0.44,0.58,0.50,5.75,4.00
1000 Homo DJs,9,34,15.44,357009.00,112.91,0.94,0.46,-7.80,0.05,0.31,0.01,0.31,0.26,0.67,8.78,4.00
1000mods,23,44,25.61,337823.30,129.14,0.78,0.31,-7.60,0.05,0.33,0.01,0.19,0.25,0.61,5.04,3.96
108,7,27,17.71,114388.43,119.50,0.81,0.37,-8.72,0.08,0.63,0.00,0.22,0.42,0.57,6.14,4.00
10cc,19,71,32.32,239428.79,130.31,0.63,0.51,-9.46,0.07,0.01,0.29,0.17,0.59,0.47,5.53,3.84
10cm,5,61,51.00,199280.40,99.23,0.44,0.67,-6.57,0.05,0.00,0.41,0.13,0.51,0.60,5.40,4.00
10-FEET,4,49,33.75,301663.25,119.69,0.88,0.44,-4.03,0.08,0.03,0.00,0.32,0.33,1.00,0.75,4.00
